name1,name2,time
d03c44b726face7cfb7d7d9282bdc3b4,c75feece294ba090f24f32ad0938af60,2
01023-121.3998-31.21262001,01022-121.3998-31.21262001,3
4200206b4e06bc841a89eb14c09cd56b,03f4da379f0c02e69ba731b80d4bcc10,2
010418-121.84148-31.06446,010420-121.84148-31.06446,2
8f6f50d6ba8f6d01045d515ef8e856b2,58d7c7de7198b608818a9948a27ac2e1,2
122914-121.43806-31.26972001,010413-121.43806-31.26972001,6
675fb03a83478b5c418469dd346193f8,70c48a8a92e29fcc9b4e208bd01cea8f,2
122924-121.50188-31.16696001,122915-121.50188-31.16696001,4
66a10de0d097c040235bafacd334189e,ff067aaaf31161aa3e209eca19725757,2
12296-121.65777-31.19750001,12297-121.65777-31.19750001,2
eff9e13561badba70039fd7aed3ad883,6b15a64659248dbcbf04245cb8a47d8f,2
123012-121.50459-31.15506001,123010-121.50459-31.15506001,5
59d9bf256dd2c2b0435a59bea7504bdc,0749521f8e362cd8e901ee9fea0df5dc,2
010417-121.51-31.22830001,122911-121.51-31.22830001,4
9cf6f26d2ded3795300d6a489a64a693,765eb9e58e1917fda6fad12b33712f11,2
123012-121.4889-31.07574001,123014-121.4889-31.07574001,7
e04f79c52384dff35929383bacf8e7d3,19712ce1b35a25b0e280e0408ce3df71,2
12276-121.53023-31.25627,01054-121.53023-31.25627,8
08e4d457ace52d342d3d5642db5179f1,f9f012b1c5736e63fbe877e7d26171ce,2
010316-121.45371-31.21846001,010314-121.45371-31.21846001,2
67e890f107b140fdc56a5fd7448977b0,8c1f0936a87cceac5c7596ed1940040a,2
01045-121.516-31.24090001,01046-121.516-31.24090001,3
1fa07c69f0f84a4225a6e2797f82d714,bb8cbc52694631a6dba2cc59dc78ffd2,2
01063-121.4343-31.21091001,01066-121.4343-31.21091001,2
2d9583d321a0edabe127f2d8847c0e8f,9f9575b98a5ec8a6bd63079cedb6fa8c,2
122812-121.51417-31.22489001,122917-121.51417-31.22489001,5
834ebde1c40a04398958ba922806c4f0,9efbac01175e8d7be2850227f2d3926b,2
123010-121.51984-31.23291001,12309-121.51984-31.23291001,2
06d94b2c332fae5db7ddc5f946901679,6e5650bb0d59ad9a99f7fb689665a0b8,2
123024-121.450734-31.19151001,12277-121.450734-31.19151001,13
f4ac668d74f49d9afb097669f8af08e7,b55f94d9cc23a70e1f3ca8a1fa55211e,2
12308-121.41397-31.19547001,12318-121.41397-31.19547001,2
5ae472789d8dae4fd6a17aed80fba5fa,2a04c25468407c2acf9a17063ba082df,2
123012-121.62474-31.21588001,010610-121.62474-31.21588001,16
7f2c9b986a6d121db259a85e815020a9,11180114bda980d33bd07b603e70f788,2
122817-121.53724-31.13158001,122915-121.53724-31.13158001,5
583d2af48d54a2f461bc635f6640e5c8,90db5ccfa2a5a2cdb0ead1c1eee6e9f5,2
01011-121.52793-31.28212001,010512-121.52793-31.28212001,5
d59345251543f83d78c5db23968f6847,56750e871358561459f43c809737505d,2
122711-121.5511-31.19662001,122910-121.5511-31.19662001,2
88fde1f32e2b99203732918d50001fe7,cd082566f76ba2664356f5d09d717315,2
123112-121.46575-31.21261001,010613-121.46575-31.21261001,7
df976fbf5543730428f55b265205b141,fd795f5ec3c96a2e090bba4561d6c67f,2
12319-121.46666-31.23527001,122919-121.46666-31.23527001,2
8c1f0936a87cceac5c7596ed1940040a,5ef7b3e962fbe36c05e0c42723a0bbf9,2
010116-121.516-31.24090001,010321-121.516-31.24090001,12
0837ce6f83f6ca2f67d649536aab5b51,d8412ec40ae56b2a0d753550193a97f2,2
010414-121.4411667-31.19747223,010518-121.4411667-31.19747223,2
bfa56cd8d1e56a5d2578ca3ff3e04009,a5130ff011e1befcb0559d0398657ed1,2
010320-121.5897-31.26855001,01048-121.5897-31.26855001,3
97f5e9097a3bc8517d2edccba6734da3,8e01d6b17ee4116d207d049eda65b29d,2
010412-121.38726-31.18293001,010523-121.38726-31.18293001,2
c7668cddc15a96dba01495d826b8ca72,28e66c7bce931d7df4a63b31c644bc47,2
123111-121.52608-31.21911001,123110-121.52608-31.21911001,2
9d0c0473c67722a6d7bb62d5f5720b2d,159ce9ccdd23e47672c6de7c1f1a8fe5,2
01054-121.4945-31.14566001,01047-121.4945-31.14566001,4
5d5cbd65b3b2f204ab759e9d42ec7745,aa91c75a4b9d228bd63a476ef6c932a2,2
122713-121.54963-31.16523001,12278-121.54963-31.16523001,6
044a4b2933ddc04ee3452adf27ca649a,294c91061855d1f45ce9728b9a30c536,2
123017-121.472805-31.22320601,123015-121.472805-31.22320601,2
1d901000c9f16e8518cc949268de3ab8,a7eef7fe0a3c3d474b375980c8995319,2
12286-121.34054-31.15144001,12284-121.34054-31.15144001,3
21594614c9917678d99ecf192814a89a,f7fc1202c35edc6321cebec6461b7cb6,2
122811-121.38717-31.23741001,122813-121.38717-31.23741001,2
1398e48692b88faebd97c669e3e7754d,aa91c75a4b9d228bd63a476ef6c932a2,2
01066-121.54963-31.16523001,010413-121.55778-31.16556001,4
a0c15630b3e1307e07090d9015ecb4b3,c9292745426cc75a07d4984b67e09114,2
122717-121.54944-31.18493001,122711-121.54944-31.18493001,2
b4cf6f3c3532fb0dfaa539cde6a06f42,dc57ecda6149267edb1ce30c54ad8de9,2
122823-121.53313-31.22608001,123110-121.53313-31.22608001,7
a9d74439b9c6228f8e7880a24874d90c,e5e7f503909afbc8d8adffd61f1a19ef,2
010324-121.55185-31.18373001,122711-121.55185-31.18373001,2
909f7882a3cfdf77968fcc9ca67c33df,132a0cb47d96fbfd516510c81b3c301f,2
01048-121.3152-31.13886001,01053-121.3152-31.13886001,3
d95a6516e70d9b7ebb42a90211630143,74b10df6b23e7d492d9e63bb09336304,2
122715-121.46-31.22083001,122714-121.46-31.22083001,2
b4432e43c65a9d2691070e2e4b80f52f,a52fd8b8852f2b831a8a37afaf7676b1,2
123120-121.40222-31.35138001,123121-121.40222-31.35138001,2
a6ed392bce330068773a938cdd343614,0cca75e568765386729cdf4041fbca20,2
122922-121.4945-31.14566001,122921-121.4945-31.14566001,2
c86488003ae25657226f2ba8094695f1,4a21d554e15c5d0fcc46928d9f95e44a,2
122717-121.81724-31.11542001,122720-121.81724-31.11542001,2
23732abe3542167b47a5ce0170922310,8ccb5f069191f05b42fb3cc32913efc8,2
01032-121.45333-31.22367001,01037-121.45333-31.22367001,8
35546f93fd339efc9e523891881af5d4,fe833a3cf2377f704bb4636c359049cb,2
010120-121.43901-31.22171001,010320-121.43901-31.22171001,4
1f4c964815b5359ec831baa57486cac2,ba3c94c27c52a13de613621569102ae3,2
010316-121.37893-31.31719001,010317-121.37893-31.31719001,3
3edd4f69236ffae1712c5bbc97b1d05a,8b709a5c557807bfd06117788f71d891,2
122724-121.38721-31.25379001,123122-121.42337-31.26472001,2
49ec2a1a7bc09feb00d9d2d176518b8c,e36f3a3fa5c566aaaa18f73320c6a444,2
123115-121.46063-31.20688001,123114-121.46063-31.20688001,2
0219f5cd1a7fa4ef7cbffdc78e0e47dc,e2d10e484e6a3ad5402b6fc880049e1f,2
12315-121.63727-31.19393001,12316-121.63727-31.19393001,3
9df957b5d7055e8507e834fe254e4c5c,f6fdc5ef7813f09ac0081203ba65a929,2
12303-121.42306-31.22528001,12302-121.42306-31.22528001,2
991c4edd4cfcfc6637da3181549f196e,a08872057fc1387df23caf3d0f9b7589,2
122820-121.48909-31.18010001,122819-121.48909-31.18010001,2
97aecd60873be726cd16461846b9e015,4f95370d5808c913e020d6dc58fc647d,2
010410-121.45419-31.24132001,010512-121.45419-31.24132001,4
4a65a4a9fcaac2551e74a7e56e59f865,7dd6559800fe1073d48d398b914a1ff6,2
010418-121.54087-31.23495001,123116-121.54087-31.23495001,2
09b66ec8f926782838338d73a3ff0a1d,17b5d9829aed1dc0bd2c5d25fe9f6052,2
12315-121.44517-31.33911001,12286-121.44517-31.33911001,2
2400fa3da467c580e3f87f8dea2a09b3,248e817f0b76450632a114627fb27025,2
122818-121.3583-31.13670001,122910-121.3583-31.13670001,5
97c5929ffaba79d337823fea04cede81,db84c0be15f0a1380f7a2a78d172a2e3,2
123021-121.50601-31.25979001,123010-121.50601-31.25979001,2
4f59f9434c50b1c35d1bde3c52aefa89,536ff3db98687cef1279c94eef0d4d9d,2
123016-121.40711-31.23242001,123014-121.40711-31.23242001,9
